,time,title,artist
0,2022-09-14 22:11:07, Something You Said,Ketil Bjornstad
1,2022-09-14 22:08:06, Le Fou De La Reine,Fançoise Hardy & Henri Salvador
2,2022-09-14 22:05:04, Dance,Funktionality
3,2022-09-14 21:55:21, Taubenturm,Pascal Schumacher Quartet
4,2022-09-14 21:50:57, The Message,Jazzkantine
5,2022-09-14 21:45:42, Rumors,Elisabetta Serio
6,2022-09-14 21:41:53, Sie Haben Das Leben Vor Mich Hingestellt,Jasmine Bonnin
7,2022-09-14 21:36:41, Lilly Of The Valley,Vladyslav Sendecki
8,2022-09-15 01:46:10, Bagamoyo After Sundown,François Jeanneau & Uli Lenz
9,2022-09-15 01:41:51, Deal With It,Luca Sestak
10,2022-09-15 01:38:45, Cembalo Manifeszt,Michael Wollny
11,2022-09-15 01:34:35, Underbara Du,Monika Hoffman
12,2022-09-15 01:30:14, En Början (A Beginning),Martin Tingvall
13,2022-09-15 16:36:36, Addicted (feat. Grace Kelly),Chadwick Johnson
14,2022-09-15 16:32:21, Only Trust Your Heart,Stacey Kent
